"","sample_id","var","y","y_hat","split"
"1","SK-MEL-3","Lapatinib",NA,0.0647361949086189,"test"
"2","AN3-CA","Lapatinib",0.0065407074522246,0.0608829185366631,"test"
"3","EW-11","Lapatinib",0.0523099883492327,0.0838696584105492,"test"
"4","NCI-H1650","Lapatinib",0.187901709820697,0.171602636575699,"test"
"5","NCI-H838","Lapatinib",NA,0.0718339756131172,"test"
"6","NCI-H2452","Lapatinib",0.181115783277757,0.044947799295187,"test"
"7","KYSE-410","Lapatinib",0.176168310995406,0.168285086750984,"test"
"8","SF295","Lapatinib",NA,0.0843232348561287,"test"
"9","NCI-H1755","Lapatinib",0.0950416696126543,0.0922358557581902,"test"
"10","23132/87","Lapatinib",0.172437582560839,0.203115001320839,"test"
"11","LXF 289","Lapatinib",0.0676408970664463,0.102033063769341,"test"
"12","COLO 824","Lapatinib",0.0792466711712864,0.0962625592947006,"test"
"13","MS-1 [Human lung carcinoma]","Lapatinib",0.0845683596785517,0.0424383394420147,"test"
"14","HuH-6 Clone 5","Lapatinib",NA,0.0560560300946236,"test"
"15","NCI-H2347","Lapatinib",0.0057128025686151,0.0585438348352909,"test"
"16","SK-MG-1","Lapatinib",0.0480439464493316,0.0435489118099213,"test"
"17","P31/FUJ","Lapatinib",3.4420757612656e-12,0.0771696642041206,"test"
"18","KM-H2","Lapatinib",0.0808189239281433,0.0421310402452946,"test"
"19","TE-15","Lapatinib",NA,0.246216058731079,"test"
"20","MHH-CALL-4","Lapatinib",NA,0.119879752397537,"test"
"21","Lu-135","Lapatinib",0.0620377705672995,0.0667871534824371,"test"
"22","T98G","Lapatinib",0.0277230380673422,0.0687172636389732,"test"
"23","NCI-H2141","Lapatinib",0,0.0575362630188465,"test"
"24","Onda 10","Lapatinib",NA,0.0716258436441422,"test"
"25","LB647-SCLC","Lapatinib",NA,0.122787892818451,"test"
"26","NCI-H1993","Lapatinib",0.0711181725908361,0.187006309628487,"test"
"27","EW-16","Lapatinib",0.0865879617867977,0.0784884989261627,"test"
"28","NB69","Lapatinib",0.0980504735376825,0.0593379139900208,"test"
"29","UACC-812","Lapatinib",0.303821195526779,0.208246469497681,"test"
"30","HuP-T3","Lapatinib",0.0403601576205324,0.0537455566227436,"test"
