"","layer","name","target_variable","target_class","importance"
"1","mut","IDH1","AGE",0,1.85917701002611
"2","mut","ATRX","AGE",0,0.935324323249092
"3","mut","PIK3CA","AGE",0,0.304055641244838
"4","mut","EGFR","AGE",0,0.274068977752926
"5","mut","IDH2","AGE",0,0.251923522544556
"6","mut","HIVEP3","AGE",0,0.123319951852226
"7","mut","RELN","AGE",0,0.0961922159500464
"8","mut","AZU1","AGE",0,0.0869884680746029
"9","mut","COL6A3","AGE",0,0.0826732213349757
"10","mut","CIC","AGE",0,0.0788309018045951
"11","mut","IDH1","HISTOLOGICAL_DIAGNOSIS",1,0.149569379727691
"12","mut","ATRX","HISTOLOGICAL_DIAGNOSIS",4,0.0708894722785173
"13","mut","PIK3CA","HISTOLOGICAL_DIAGNOSIS",4,0.0414991678671614
"14","mut","EGFR","HISTOLOGICAL_DIAGNOSIS",1,0.0213964224792039
"15","mut","RELN","HISTOLOGICAL_DIAGNOSIS",4,0.0191480677404923
"16","mut","CIC","HISTOLOGICAL_DIAGNOSIS",4,0.0184694886483716
"17","mut","IDH2","HISTOLOGICAL_DIAGNOSIS",1,0.0165412044921721
"18","mut","HIVEP3","HISTOLOGICAL_DIAGNOSIS",4,0.0152346630147185
"19","mut","AZU1","HISTOLOGICAL_DIAGNOSIS",4,0.0110393691350746
"20","mut","GGCX","HISTOLOGICAL_DIAGNOSIS",4,0.0100101608980851
"21","mut","IDH1","OS_STATUS",0,0.177184987362386
"22","mut","ATRX","OS_STATUS",0,0.0976378485394345
"23","mut","IDH2","OS_STATUS",0,0.0266983968124009
"24","mut","PIK3CA","OS_STATUS",0,0.0217427661250953
"25","mut","EGFR","OS_STATUS",0,0.0213392695272786
"26","mut","HIVEP3","OS_STATUS",0,0.012761602438692
"27","mut","RELN","OS_STATUS",0,0.0107643090516731
"28","mut","SDCCAG8","OS_STATUS",0,0.00829385888026929
"29","mut","PAPOLA","OS_STATUS",0,0.00792359303264958
"30","mut","COL6A3","OS_STATUS",0,0.00735339653543686
