"","tSNE1","tSNE2","factor"
"TCGA-EJ-7327",-22.1320584327194,13.7071230752655,"5"
"TCGA-CJ-6032",1.95687958502588,-19.1701559002062,"4"
"TCGA-D1-A17A",-8.79434660014618,19.1831203788566,"8"
"TCGA-85-7696",20.097019787234,-10.0103903131168,"1"
"TCGA-SY-A9G5",12.0611731745193,3.38783627446,"20"
"TCGA-CC-A8HV",-5.30993496975911,30.4238997823774,"2"
"TCGA-AR-A2LO",-12.2897637228609,5.87565353664795,"11"
"TCGA-B8-A54I",3.23071641084818,-16.1565303628904,"4"
"TCGA-DX-A48R",-15.2119845794414,-4.00396739323398,"21"
"TCGA-2Y-A9GT",-0.675386624436753,33.0119797656306,"2"
"TCGA-QR-A70W",-27.6058158636277,-17.980750515497,"13"
"TCGA-YU-A912",21.6439783835058,-19.9558954664787,"17"
"TCGA-E1-A7YK",-33.0317279779857,-1.6000153252833,"23"
"TCGA-DJ-A1QH",10.6937769609792,-29.1914587124491,"19"
"TCGA-EW-A1IZ",-10.0015541607814,6.66756888446132,"11"
"TCGA-B6-A0RP",-13.7419541282137,5.37269720021715,"11"
"TCGA-D5-6932",14.9142629462573,21.6160283183379,"10"
"TCGA-HU-A4GU",12.8400461654426,16.3204976523383,"10"
"TCGA-49-AAR0",6.48851333299588,-7.24349297373865,"15"
"TCGA-D1-A16N",-10.8483567025489,19.7648872247631,"8"
"TCGA-ZJ-AAX8",22.4844490083822,2.882909944347,"9"
"TCGA-ED-A7XO",0.384049100595049,33.1420911615823,"2"
"TCGA-A7-A0CE",-11.9734851771859,3.03741860018362,"7"
"TCGA-UB-AA0U",-0.866664110989835,32.6843275890627,"2"
"TCGA-P3-A6SW",22.3030889777642,3.48332474330069,"9"
"TCGA-VR-A8ER",20.1196310634445,-8.70782730333281,"1"
"TCGA-IB-7654",0.377647939949761,8.69034635992439,"16"
"TCGA-XE-A9SE",20.0652049370144,-18.6636695995087,"17"
"TCGA-AX-A1C4",-6.88952901616897,18.9365978005814,"8"
"TCGA-FV-A23B",-2.41255286325403,33.7618067513361,"2"
"TCGA-XK-AAIV",-18.9960459779972,12.9829468284177,"5"
"TCGA-D8-A1XO",-13.2864742858782,5.35365048705872,"11"
"TCGA-BQ-5876",-4.57498045182662,-18.8074580942241,"3"
"TCGA-RW-A681",-29.6891362682529,-14.8833870005096,"13"
"TCGA-C5-A2LT",18.3097348617705,2.73567140033374,"9"
"TCGA-XF-A9SU",10.6293089202041,2.13995069110784,"20"
"TCGA-WB-A81K",-27.2627649941234,-15.1163129582643,"13"
"TCGA-B0-4827",1.94480990108228,-16.396666997953,"4"
"TCGA-AA-3663",-3.0394388340304,8.26805210356587,"7"
"TCGA-US-A779",1.94321039929925,10.1027916552801,"16"
"TCGA-DB-5270",-34.7816913915944,-2.7790141085078,"23"
"TCGA-FD-A3SJ",9.37963906468707,2.81573280690507,"20"
"TCGA-IP-7968",10.4914648497922,12.9593002215621,"22"
"TCGA-DB-A64O",-32.404245085293,-3.67521833369319,"23"
"TCGA-IN-A6RR",6.03295582832497,17.6846467947295,"22"
"TCGA-67-6216",3.54434215525058,-5.64710061024661,"15"
"TCGA-A3-A8CQ",0.0460936280558632,-16.5861840888883,"4"
"TCGA-XF-A9T8",13.630256359889,-0.0207530030502116,"12"
"TCGA-A4-8311",-10.9303706256907,-25.4266970299083,"6"
"TCGA-LC-A66R",12.9917782680565,0.827474421698493,"12"
"TCGA-CQ-5325",16.8190053611027,-0.909966354160778,"12"
"TCGA-EJ-A65B",-19.3130580002062,11.7661292830225,"5"
"TCGA-EY-A2OQ",-7.47048252657008,13.8869082228761,"8"
"TCGA-56-A4ZJ",8.60039182700272,-9.16447680899121,"7"
"TCGA-BA-5152",17.5275818458929,-2.2032503178483,"12"
"TCGA-2G-AAHP",21.0665874514698,-18.8605029941342,"17"
"TCGA-PR-A5PG",-28.8516664706342,-15.9523453226498,"13"
"TCGA-UZ-A9PU",-10.232517890502,-24.5891856507155,"6"
"TCGA-DX-AB3B",-8.99632292243626,-0.780829191883472,"18"
"TCGA-LN-A7HV",18.1112939752195,-4.21384629922732,"12"
"TCGA-2G-AALX",-8.98541661731051,-6.7358339135236,"7"
