"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"BLCA",0,0,0,0,0,0,0,9.9,0,2.5,0,0,18.5,0,1.2,0,0,0,0,0,67.9,0,0,0
"BRCA",0,0,0,0,0,0,0,15.3,0,0,0,76.4,0,0,0,4.2,0,0,4.2,0,0,0,0,0
"CESC",0,0,0,0,0,0,0,2.4,2.4,84.1,1.2,0,7.3,0,0,1.2,1.2,0,0,0,0,0,0,0
"COAD",0,0,0,0,0,0,0,3.8,0,0,91.1,0,0,0,0,0,2.5,0,0,0,0,0,2.5,0
"ESCA",0,23.2,0,0,0,0,0,1.2,0,0,0,0,22,0,1.2,0,1.2,0,3.7,0,0,0,47.6,0
"HNSC",0,6.2,0,0,0,0,0,3.7,0,19.8,0,0,70.4,0,0,0,0,0,0,0,0,0,0,0
"KIRC",0,0,0,4.8,91.7,0,1.2,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIRP",0,0,0,35.6,1.1,0,59.8,2.3,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0
"LGG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"LIHC",2.4,0,95.2,1.2,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0
"LUAD",0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,91,3.8,0,0,0,0,0,1.3,0
"LUSC",0,46.8,0,0,0,0,0,11.4,0,1.3,0,0,13.9,0,0,17.7,0,5.1,2.5,0,1.3,0,0,0
"PAAD",0,0,0,0,0,0,0,21,0,0,1.2,0,0,0,1.2,1.2,74.1,0,0,0,0,0,0,1.2
"PCPG",0,0,0,0,0,0,0,4.9,0,0,0,0,0,93.8,0,0,0,0,0,0,0,0,0,1.2
"PRAD",0,0,0,0,0,98.7,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SARC",0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,48.8,0,0,0,17.5,0,0,30,0,0
"STAD",1.3,0,0,0,0,0,0,6.5,0,0,2.6,0,0,0,0,0,0,1.3,0,0,0,0,88.3,0
"TGCT",17.9,0,0,0,0,0,0,29.5,0,0,0,0,0,0,0,0,0,52.6,0,0,0,0,0,0
"THCA",0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,98.7,0,0,0,0
"UCEC",0,0,0,5.1,0,0,0,6.3,86.1,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0
