"","sample","cor","split","analysis","features","hubness"
"1","ACH-000001",0.591541172132564,"test","gex","gex_only","with_hubness"
"2","ACH-000004",0.572574491072528,"test","gex","gex_only","with_hubness"
"3","ACH-000005",0.567747532914286,"test","gex","gex_only","with_hubness"
"4","ACH-000007",0.594787934201251,"test","gex","gex_only","with_hubness"
"5","ACH-000009",0.590150906954797,"test","gex","gex_only","with_hubness"
"6","ACH-000011",0.571585603229939,"test","gex","gex_only","with_hubness"
"7","ACH-000012",0.606264043350202,"test","gex","gex_only","with_hubness"
"8","ACH-000013",0.612289224419163,"test","gex","gex_only","with_hubness"
"9","ACH-000014",0.580047955838674,"test","gex","gex_only","with_hubness"
"10","ACH-000015",0.604733250532125,"test","gex","gex_only","with_hubness"
"11","ACH-000017",0.580268156398593,"test","gex","gex_only","with_hubness"
"12","ACH-000018",0.572655061948354,"test","gex","gex_only","with_hubness"
"13","ACH-000019",0.597892734925975,"test","gex","gex_only","with_hubness"
"14","ACH-000021",0.566600811784224,"test","gex","gex_only","with_hubness"
"15","ACH-000022",0.587823845184613,"test","gex","gex_only","with_hubness"
"16","ACH-000023",0.598722588763407,"test","gex","gex_only","with_hubness"
"17","ACH-000024",0.608317177515986,"test","gex","gex_only","with_hubness"
"18","ACH-000025",0.585569764751943,"test","gex","gex_only","with_hubness"
"19","ACH-000028",0.617539112942961,"test","gex","gex_only","with_hubness"
"20","ACH-000029",0.616034160289634,"test","gex","gex_only","with_hubness"
"21","ACH-000030",0.576017430285761,"test","gex","gex_only","with_hubness"
"22","ACH-000035",0.601209095930421,"test","gex","gex_only","with_hubness"
"23","ACH-000036",0.565107606121879,"test","gex","gex_only","with_hubness"
"24","ACH-000037",0.554172526105861,"test","gex","gex_only","with_hubness"
"25","ACH-000039",0.567715355745508,"test","gex","gex_only","with_hubness"
"26","ACH-000040",0.564084038865111,"test","gex","gex_only","with_hubness"
"27","ACH-000041",0.566357492391842,"test","gex","gex_only","with_hubness"
"28","ACH-000042",0.580161956060833,"test","gex","gex_only","with_hubness"
"29","ACH-000045",0.600023190665171,"test","gex","gex_only","with_hubness"
"30","ACH-000047",0.595930422311482,"test","gex","gex_only","with_hubness"
"31","ACH-000048",0.609851313938639,"test","gex","gex_only","with_hubness"
"32","ACH-000052",0.56131960217148,"test","gex","gex_only","with_hubness"
"33","ACH-000053",0.572977003205486,"test","gex","gex_only","with_hubness"
"34","ACH-000054",0.599269875252689,"test","gex","gex_only","with_hubness"
"35","ACH-000055",0.57961825690948,"test","gex","gex_only","with_hubness"
"36","ACH-000060",0.588189802241638,"test","gex","gex_only","with_hubness"
"37","ACH-000067",0.59676485611941,"test","gex","gex_only","with_hubness"
"38","ACH-000070",0.587857358774497,"test","gex","gex_only","with_hubness"
"39","ACH-000074",0.595387274655579,"test","gex","gex_only","with_hubness"
"40","ACH-000075",0.593373565419476,"test","gex","gex_only","with_hubness"
"41","ACH-000076",0.574977232316431,"test","gex","gex_only","with_hubness"
"42","ACH-000077",0.536816029117788,"test","gex","gex_only","with_hubness"
"43","ACH-000078",0.556199484028058,"test","gex","gex_only","with_hubness"
"44","ACH-000082",0.591416399582574,"test","gex","gex_only","with_hubness"
"45","ACH-000085",0.57297025636072,"test","gex","gex_only","with_hubness"
"46","ACH-000086",0.592125531093,"test","gex","gex_only","with_hubness"
"47","ACH-000087",0.587414791192498,"test","gex","gex_only","with_hubness"
"48","ACH-000090",0.568018625847172,"test","gex","gex_only","with_hubness"
"49","ACH-000092",0.557093241983136,"test","gex","gex_only","with_hubness"
"50","ACH-000093",0.535591300486054,"test","gex","gex_only","with_hubness"
"51","ACH-000094",0.572665147336645,"test","gex","gex_only","with_hubness"
"52","ACH-000095",0.596433509137194,"test","gex","gex_only","with_hubness"
"53","ACH-000097",0.619819070592666,"test","gex","gex_only","with_hubness"
"54","ACH-000098",0.587657784994963,"test","gex","gex_only","with_hubness"
"55","ACH-000099",0.59823267897214,"test","gex","gex_only","with_hubness"
"56","ACH-000101",0.575253600895628,"test","gex","gex_only","with_hubness"
"57","ACH-000103",0.57375076353049,"test","gex","gex_only","with_hubness"
"58","ACH-000108",0.586973406378039,"test","gex","gex_only","with_hubness"
"59","ACH-000111",0.590968674106995,"test","gex","gex_only","with_hubness"
"60","ACH-000113",0.619388046834076,"test","gex","gex_only","with_hubness"
"61","ACH-000114",0.560793334013498,"test","gex","gex_only","with_hubness"
"62","ACH-000115",0.534067042649027,"test","gex","gex_only","with_hubness"
"63","ACH-000118",0.62385068939234,"test","gex","gex_only","with_hubness"
"64","ACH-000120",0.603832979466863,"test","gex","gex_only","with_hubness"
"65","ACH-000123",0.633605460239137,"test","gex","gex_only","with_hubness"
"66","ACH-000124",0.589074394958034,"test","gex","gex_only","with_hubness"
"67","ACH-000127",0.614959325483447,"test","gex","gex_only","with_hubness"
"68","ACH-000128",0.58373898566109,"test","gex","gex_only","with_hubness"
"69","ACH-000132",0.613471785281149,"test","gex","gex_only","with_hubness"
"70","ACH-000133",0.571568384097653,"test","gex","gex_only","with_hubness"
"71","ACH-000137",0.597626286267627,"test","gex","gex_only","with_hubness"
"72","ACH-000138",0.593109910725893,"test","gex","gex_only","with_hubness"
"73","ACH-000139",0.533618679570116,"test","gex","gex_only","with_hubness"
"74","ACH-000141",0.580366861398643,"test","gex","gex_only","with_hubness"
"75","ACH-000142",0.577062523943327,"test","gex","gex_only","with_hubness"
"76","ACH-000143",0.600689586726307,"test","gex","gex_only","with_hubness"
"77","ACH-000144",0.571431015260129,"test","gex","gex_only","with_hubness"
"78","ACH-000145",0.563021812402095,"test","gex","gex_only","with_hubness"
"79","ACH-000146",0.585130106704211,"test","gex","gex_only","with_hubness"
"80","ACH-000147",0.623596575280777,"test","gex","gex_only","with_hubness"
"81","ACH-000148",0.596576928716847,"test","gex","gex_only","with_hubness"
"82","ACH-000149",0.610263290945659,"test","gex","gex_only","with_hubness"
"83","ACH-000150",0.584885426143686,"test","gex","gex_only","with_hubness"
"84","ACH-000151",0.576516124375836,"test","gex","gex_only","with_hubness"
"85","ACH-000152",0.575057908711491,"test","gex","gex_only","with_hubness"
"86","ACH-000153",0.57699845609562,"test","gex","gex_only","with_hubness"
"87","ACH-000155",0.570596891284577,"test","gex","gex_only","with_hubness"
"88","ACH-000159",0.581837415913608,"test","gex","gex_only","with_hubness"
"89","ACH-000160",0.616001929396184,"test","gex","gex_only","with_hubness"
"90","ACH-000161",0.584521763918603,"test","gex","gex_only","with_hubness"
"91","ACH-000163",0.579625733742112,"test","gex","gex_only","with_hubness"
"92","ACH-000164",0.603262213505245,"test","gex","gex_only","with_hubness"
"93","ACH-000168",0.541259120538176,"test","gex","gex_only","with_hubness"
"94","ACH-000169",0.59453858431934,"test","gex","gex_only","with_hubness"
"95","ACH-000174",0.605730415744302,"test","gex","gex_only","with_hubness"
"96","ACH-000176",0.55877233712795,"test","gex","gex_only","with_hubness"
"97","ACH-000178",0.611205482940961,"test","gex","gex_only","with_hubness"
"98","ACH-000181",0.60587836007311,"test","gex","gex_only","with_hubness"
"99","ACH-000182",0.607288210455572,"test","gex","gex_only","with_hubness"
"100","ACH-000183",0.621700101127644,"test","gex","gex_only","with_hubness"
"101","ACH-000187",0.589011551409768,"test","gex","gex_only","with_hubness"
"102","ACH-000188",0.586897906878216,"test","gex","gex_only","with_hubness"
"103","ACH-000189",0.557865750213878,"test","gex","gex_only","with_hubness"
"104","ACH-000190",0.592450299591716,"test","gex","gex_only","with_hubness"
"105","ACH-000191",0.597493557263147,"test","gex","gex_only","with_hubness"
"106","ACH-000195",0.571684874312424,"test","gex","gex_only","with_hubness"
"107","ACH-000198",0.614233186722956,"test","gex","gex_only","with_hubness"
"108","ACH-000200",0.578846679397261,"test","gex","gex_only","with_hubness"
"109","ACH-000202",0.56083509911148,"test","gex","gex_only","with_hubness"
"110","ACH-000204",0.605968700863479,"test","gex","gex_only","with_hubness"
"111","ACH-000206",0.570133432669619,"test","gex","gex_only","with_hubness"
"112","ACH-000207",0.586606752875838,"test","gex","gex_only","with_hubness"
"113","ACH-000209",0.57145995487615,"test","gex","gex_only","with_hubness"
"114","ACH-000211",0.595939454456218,"test","gex","gex_only","with_hubness"
"115","ACH-000212",0.579337380440371,"test","gex","gex_only","with_hubness"
"116","ACH-000213",0.574080175569462,"test","gex","gex_only","with_hubness"
"117","ACH-000215",0.594173548962776,"test","gex","gex_only","with_hubness"
"118","ACH-000216",0.609316565328155,"test","gex","gex_only","with_hubness"
"119","ACH-000217",0.609710269948566,"test","gex","gex_only","with_hubness"
"120","ACH-000219",0.627745725519471,"test","gex","gex_only","with_hubness"
"121","ACH-000221",0.590657877842,"test","gex","gex_only","with_hubness"
"122","ACH-000222",0.576416507902282,"test","gex","gex_only","with_hubness"
"123","ACH-000223",0.588327319108222,"test","gex","gex_only","with_hubness"
"124","ACH-000226",0.567493250698386,"test","gex","gex_only","with_hubness"
"125","ACH-000227",0.56370241388409,"test","gex","gex_only","with_hubness"
"126","ACH-000228",0.580593849257264,"test","gex","gex_only","with_hubness"
"127","ACH-000231",0.582291898355577,"test","gex","gex_only","with_hubness"
"128","ACH-000232",0.620511316209236,"test","gex","gex_only","with_hubness"
"129","ACH-000233",0.60392007890809,"test","gex","gex_only","with_hubness"
"130","ACH-000234",0.569211349457002,"test","gex","gex_only","with_hubness"
"131","ACH-000235",0.591270871969375,"test","gex","gex_only","with_hubness"
"132","ACH-000237",0.584997686363472,"test","gex","gex_only","with_hubness"
"133","ACH-000238",0.602437448158659,"test","gex","gex_only","with_hubness"
"134","ACH-000243",0.625639984810774,"test","gex","gex_only","with_hubness"
"135","ACH-000244",0.5663990541982,"test","gex","gex_only","with_hubness"
"136","ACH-000246",0.616874017893812,"test","gex","gex_only","with_hubness"
"137","ACH-000247",0.599258533507544,"test","gex","gex_only","with_hubness"
"138","ACH-000248",0.58334887493726,"test","gex","gex_only","with_hubness"
"139","ACH-000249",0.596192576723078,"test","gex","gex_only","with_hubness"
"140","ACH-000250",0.591187641226949,"test","gex","gex_only","with_hubness"
"141","ACH-000251",0.537981204022554,"test","gex","gex_only","with_hubness"
"142","ACH-000252",0.585597084268414,"test","gex","gex_only","with_hubness"
"143","ACH-000253",0.592337591169842,"test","gex","gex_only","with_hubness"
"144","ACH-000255",0.589551894483058,"test","gex","gex_only","with_hubness"
"145","ACH-000256",0.560159257078717,"test","gex","gex_only","with_hubness"
"146","ACH-000257",0.55253045084473,"test","gex","gex_only","with_hubness"
"147","ACH-000258",0.517471513346726,"test","gex","gex_only","with_hubness"
"148","ACH-000259",0.61323197157398,"test","gex","gex_only","with_hubness"
"149","ACH-000260",0.618625013645797,"test","gex","gex_only","with_hubness"
"150","ACH-000261",0.595049685298919,"test","gex","gex_only","with_hubness"
"151","ACH-000262",0.553941657743554,"test","gex","gex_only","with_hubness"
"152","ACH-000263",0.546043848996655,"test","gex","gex_only","with_hubness"
"153","ACH-000264",0.60436995257046,"test","gex","gex_only","with_hubness"
"154","ACH-000265",0.608401608897317,"test","gex","gex_only","with_hubness"
"155","ACH-000266",0.577922019722947,"test","gex","gex_only","with_hubness"
"156","ACH-000269",0.573021921098477,"test","gex","gex_only","with_hubness"
"157","ACH-000271",0.595190182951823,"test","gex","gex_only","with_hubness"
"158","ACH-000272",0.565057426353044,"test","gex","gex_only","with_hubness"
"159","ACH-000273",0.586457075936704,"test","gex","gex_only","with_hubness"
"160","ACH-000274",0.575564365151857,"test","gex","gex_only","with_hubness"
"161","ACH-000276",0.593228333240398,"test","gex","gex_only","with_hubness"
"162","ACH-000277",0.580314362496647,"test","gex","gex_only","with_hubness"
"163","ACH-000278",0.559512947319253,"test","gex","gex_only","with_hubness"
"164","ACH-000279",0.602797723430551,"test","gex","gex_only","with_hubness"
"165","ACH-000280",0.551100985381916,"test","gex","gex_only","with_hubness"
"166","ACH-000281",0.548909596310166,"test","gex","gex_only","with_hubness"
"167","ACH-000282",0.574431933857744,"test","gex","gex_only","with_hubness"
"168","ACH-000286",0.577139467139636,"test","gex","gex_only","with_hubness"
"169","ACH-000288",0.585264958482577,"test","gex","gex_only","with_hubness"
"170","ACH-000290",0.618670033805629,"test","gex","gex_only","with_hubness"
"171","ACH-000291",0.590707078023808,"test","gex","gex_only","with_hubness"
"172","ACH-000292",0.59456914962252,"test","gex","gex_only","with_hubness"
"173","ACH-000293",0.600026150739015,"test","gex","gex_only","with_hubness"
"174","ACH-000294",0.536218362510097,"test","gex","gex_only","with_hubness"
"175","ACH-000295",0.554846190200215,"test","gex","gex_only","with_hubness"
"176","ACH-000296",0.579739825601606,"test","gex","gex_only","with_hubness"
"177","ACH-000302",0.601734613816732,"test","gex","gex_only","with_hubness"
"178","ACH-000303",0.591165883025197,"test","gex","gex_only","with_hubness"
"179","ACH-000304",0.553801624880958,"test","gex","gex_only","with_hubness"
"180","ACH-000305",0.611349909638115,"test","gex","gex_only","with_hubness"
"181","ACH-000307",0.594902397980734,"test","gex","gex_only","with_hubness"
"182","ACH-000308",0.582388539490849,"test","gex","gex_only","with_hubness"
"183","ACH-000310",0.549991558019087,"test","gex","gex_only","with_hubness"
"184","ACH-000311",0.590529316706039,"test","gex","gex_only","with_hubness"
"185","ACH-000312",0.593844011932744,"test","gex","gex_only","with_hubness"
"186","ACH-000313",0.569189391158988,"test","gex","gex_only","with_hubness"
"187","ACH-000315",0.546494642707984,"test","gex","gex_only","with_hubness"
"188","ACH-000316",0.574474734739201,"test","gex","gex_only","with_hubness"
"189","ACH-000317",0.550644052494166,"test","gex","gex_only","with_hubness"
"190","ACH-000318",0.603203453573406,"test","gex","gex_only","with_hubness"
"191","ACH-000319",0.564485700353223,"test","gex","gex_only","with_hubness"
"192","ACH-000320",0.603063457748295,"test","gex","gex_only","with_hubness"
"193","ACH-000322",0.59030608040831,"test","gex","gex_only","with_hubness"
"194","ACH-000323",0.589697959641578,"test","gex","gex_only","with_hubness"
"195","ACH-000324",0.598704344957137,"test","gex","gex_only","with_hubness"
"196","ACH-000325",0.586753711462726,"test","gex","gex_only","with_hubness"
"197","ACH-000326",0.596966714931219,"test","gex","gex_only","with_hubness"
"198","ACH-000329",0.591804930781308,"test","gex","gex_only","with_hubness"
"199","ACH-000330",0.562765622978627,"test","gex","gex_only","with_hubness"
"200","ACH-000331",0.600032826877993,"test","gex","gex_only","with_hubness"
"201","ACH-000332",0.585128688839483,"test","gex","gex_only","with_hubness"
"202","ACH-000334",0.567557994246408,"test","gex","gex_only","with_hubness"
"203","ACH-000335",0.577231046495145,"test","gex","gex_only","with_hubness"
"204","ACH-000336",0.615791238210679,"test","gex","gex_only","with_hubness"
"205","ACH-000337",0.596191296538476,"test","gex","gex_only","with_hubness"
"206","ACH-000339",0.593452483789554,"test","gex","gex_only","with_hubness"
"207","ACH-000341",0.589374166984437,"test","gex","gex_only","with_hubness"
"208","ACH-000343",0.595748668419099,"test","gex","gex_only","with_hubness"
"209","ACH-000344",0.57241587399577,"test","gex","gex_only","with_hubness"
"210","ACH-000346",0.569870671323915,"test","gex","gex_only","with_hubness"
"211","ACH-000348",0.59583487258289,"test","gex","gex_only","with_hubness"
"212","ACH-000352",0.60205314231999,"test","gex","gex_only","with_hubness"
"213","ACH-000354",0.576842608586247,"test","gex","gex_only","with_hubness"
"214","ACH-000355",0.534782638784691,"test","gex","gex_only","with_hubness"
"215","ACH-000356",0.589565296123751,"test","gex","gex_only","with_hubness"
"216","ACH-000359",0.538145919361914,"test","gex","gex_only","with_hubness"
"217","ACH-000361",0.552427346868921,"test","gex","gex_only","with_hubness"
"218","ACH-000362",0.57157299631762,"test","gex","gex_only","with_hubness"
"219","ACH-000363",0.578904383056398,"test","gex","gex_only","with_hubness"
"220","ACH-000364",0.601598327552821,"test","gex","gex_only","with_hubness"
"221","ACH-000365",0.608652427328393,"test","gex","gex_only","with_hubness"
"222","ACH-000366",0.56641531764295,"test","gex","gex_only","with_hubness"
