"","target","metric","Method","value","finetuning"
"1","Crizotinib","pearson_corr","GNN_finetuned",0.339766680589153,"With Fine Tuning"
"2","Crizotinib","pearson_corr","GNN_finetuned",0.410400567602482,"With Fine Tuning"
"3","Crizotinib","pearson_corr","GNN_finetuned",0.282739896751245,"With Fine Tuning"
"4","Crizotinib","pearson_corr","GNN_finetuned",0.257475513702513,"With Fine Tuning"
"5","Crizotinib","pearson_corr","GNN_finetuned",0.434569382533474,"With Fine Tuning"
"6","Crizotinib","pearson_corr","GNN_finetuned",0.238059406584531,"With Fine Tuning"
"7","Crizotinib","pearson_corr","GNN_finetuned",0.367797574684803,"With Fine Tuning"
"8","Crizotinib","pearson_corr","GNN_finetuned",0.258546861274114,"With Fine Tuning"
"9","Crizotinib","pearson_corr","GNN_finetuned",0.288252012606225,"With Fine Tuning"
"10","Crizotinib","pearson_corr","GNN_finetuned",0.320756209999668,"With Fine Tuning"
"11","Crizotinib","pearson_corr","GNN_finetuned",0.38165558893666,"With Fine Tuning"
"12","Crizotinib","pearson_corr","GNN_finetuned",0.286306056851981,"With Fine Tuning"
"13","Crizotinib","pearson_corr","GNN_finetuned",0.315914859707461,"With Fine Tuning"
"14","Crizotinib","pearson_corr","GNN_finetuned",0.368550629239784,"With Fine Tuning"
"15","Crizotinib","pearson_corr","GNN_finetuned",0.43278962111286,"With Fine Tuning"
"16","Crizotinib","pearson_corr","GNN_finetuned",0.191724731496346,"With Fine Tuning"
"17","Crizotinib","pearson_corr","GNN_finetuned",0.282180712319039,"With Fine Tuning"
"18","Crizotinib","pearson_corr","GNN_finetuned",0.263663842380915,"With Fine Tuning"
"19","Crizotinib","pearson_corr","GNN_finetuned",0.306414484340072,"With Fine Tuning"
"20","Crizotinib","pearson_corr","GNN_finetuned",0.347364582633533,"With Fine Tuning"
"21","Crizotinib","pearson_corr","GNN_finetuned",0.230110412807576,"With Fine Tuning"
"22","Crizotinib","pearson_corr","GNN_finetuned",0.316370718502248,"With Fine Tuning"
"23","Crizotinib","pearson_corr","GNN_finetuned",0.126786524853898,"With Fine Tuning"
"24","Crizotinib","pearson_corr","GNN_finetuned",0.393810124820175,"With Fine Tuning"
"25","Crizotinib","pearson_corr","GNN_finetuned",0.282980570909094,"With Fine Tuning"
"26","Crizotinib","pearson_corr","GNN_finetuned",0.398046160487157,"With Fine Tuning"
"27","Crizotinib","pearson_corr","GNN_finetuned",0.387079489860316,"With Fine Tuning"
"28","Crizotinib","pearson_corr","GNN_finetuned",0.334956868332924,"With Fine Tuning"
"29","Crizotinib","pearson_corr","GNN_finetuned",0.332200593559689,"With Fine Tuning"
"30","Crizotinib","pearson_corr","GNN_finetuned",0.293443702368447,"With Fine Tuning"
"31","Crizotinib","pearson_corr","GNN_finetuned",0.227995033155285,"With Fine Tuning"
"32","Crizotinib","pearson_corr","GNN_finetuned",0.256522002702607,"With Fine Tuning"
"33","Crizotinib","pearson_corr","GNN_finetuned",0.257721311065917,"With Fine Tuning"
"34","Crizotinib","pearson_corr","GNN_finetuned",0.359509036069978,"With Fine Tuning"
"35","Crizotinib","pearson_corr","GNN_finetuned",0.23461811774896,"With Fine Tuning"
"36","Crizotinib","pearson_corr","GNN_finetuned",0.373552983920155,"With Fine Tuning"
"37","Crizotinib","pearson_corr","GNN_finetuned",0.171578165852532,"With Fine Tuning"
"38","Crizotinib","pearson_corr","GNN_finetuned",0.242042995679001,"With Fine Tuning"
"39","Crizotinib","pearson_corr","GNN_finetuned",0.35986379443493,"With Fine Tuning"
"40","Crizotinib","pearson_corr","GNN_finetuned",0.364912857495307,"With Fine Tuning"
"41","Crizotinib","pearson_corr","GNN_finetuned",0.380080497182775,"With Fine Tuning"
"42","Crizotinib","pearson_corr","GNN_finetuned",0.327101603467069,"With Fine Tuning"
"43","Crizotinib","pearson_corr","GNN_finetuned",0.316545943322293,"With Fine Tuning"
"44","Crizotinib","pearson_corr","GNN_finetuned",0.460756334488076,"With Fine Tuning"
"45","Crizotinib","pearson_corr","GNN_finetuned",0.230721092769845,"With Fine Tuning"
"46","Crizotinib","pearson_corr","GNN_finetuned",0.438160269114588,"With Fine Tuning"
"47","Crizotinib","pearson_corr","GNN_finetuned",0.451760493715344,"With Fine Tuning"
"48","Crizotinib","pearson_corr","GNN_finetuned",0.416904366574018,"With Fine Tuning"
"49","Crizotinib","pearson_corr","GNN_finetuned",0.371309619570884,"With Fine Tuning"
"50","Crizotinib","pearson_corr","GNN_finetuned",0.392686615524406,"With Fine Tuning"
"51","Crizotinib","pearson_corr","GNN_finetuned",0.347275577509649,"With Fine Tuning"
"52","Crizotinib","pearson_corr","GNN_finetuned",0.221763719766884,"With Fine Tuning"
"53","Crizotinib","pearson_corr","GNN_finetuned",0.336495994161836,"With Fine Tuning"
"54","Crizotinib","pearson_corr","GNN_finetuned",0.461946306650766,"With Fine Tuning"
"55","Crizotinib","pearson_corr","GNN_finetuned",0.378928936437138,"With Fine Tuning"
"56","Crizotinib","pearson_corr","GNN_finetuned",0.454484175983258,"With Fine Tuning"
"57","Crizotinib","pearson_corr","GNN_finetuned",0.296979252453791,"With Fine Tuning"
"58","Crizotinib","pearson_corr","GNN_finetuned",0.320961964618801,"With Fine Tuning"
"59","Crizotinib","pearson_corr","GNN_finetuned",0.37321623348523,"With Fine Tuning"
"60","Crizotinib","pearson_corr","GNN_finetuned",0.334318352215942,"With Fine Tuning"
"61","Crizotinib","pearson_corr","GNN_finetuned",0.21872599270841,"With Fine Tuning"
"62","Crizotinib","pearson_corr","GNN_finetuned",0.310032719295203,"With Fine Tuning"
"63","Crizotinib","pearson_corr","GNN_finetuned",0.185980193496231,"With Fine Tuning"
"64","Crizotinib","pearson_corr","GNN_finetuned",0.330297402182465,"With Fine Tuning"
"65","Crizotinib","pearson_corr","GNN_finetuned",0.455968242160275,"With Fine Tuning"
"66","Crizotinib","pearson_corr","GNN_finetuned",0.44600428396995,"With Fine Tuning"
"67","Crizotinib","pearson_corr","GNN_finetuned",0.335160956572414,"With Fine Tuning"
"68","Crizotinib","pearson_corr","GNN_finetuned",0.14795415529066,"With Fine Tuning"
"69","Crizotinib","pearson_corr","GNN_finetuned",0.370300718005534,"With Fine Tuning"
"70","Crizotinib","pearson_corr","GNN_finetuned",0.344116241609639,"With Fine Tuning"
"71","Crizotinib","pearson_corr","GNN_finetuned",0.555944265773967,"With Fine Tuning"
"72","Crizotinib","pearson_corr","GNN_finetuned",0.23018669041799,"With Fine Tuning"
"73","Crizotinib","pearson_corr","GNN_finetuned",0.426956210102642,"With Fine Tuning"
"74","Crizotinib","pearson_corr","GNN_finetuned",0.25991905791899,"With Fine Tuning"
"75","Crizotinib","pearson_corr","GNN_finetuned",0.217822652432109,"With Fine Tuning"
"76","Crizotinib","pearson_corr","GNN_finetuned",0.333463573122455,"With Fine Tuning"
"77","Crizotinib","pearson_corr","GNN_finetuned",0.296666829208127,"With Fine Tuning"
"78","Crizotinib","pearson_corr","GNN_finetuned",0.379365527676443,"With Fine Tuning"
"79","Crizotinib","pearson_corr","GNN_finetuned",0.397627053592895,"With Fine Tuning"
"80","Crizotinib","pearson_corr","GNN_finetuned",0.192026431375197,"With Fine Tuning"
"81","Crizotinib","pearson_corr","GNN_finetuned",0.309658527103378,"With Fine Tuning"
"82","Crizotinib","pearson_corr","GNN_finetuned",0.22953549336682,"With Fine Tuning"
"83","Crizotinib","pearson_corr","GNN_finetuned",0.410753324327387,"With Fine Tuning"
"84","Crizotinib","pearson_corr","GNN_finetuned",0.299462680841486,"With Fine Tuning"
"85","Crizotinib","pearson_corr","GNN_finetuned",0.194192054363759,"With Fine Tuning"
"86","Crizotinib","pearson_corr","GNN_finetuned",0.416581429161816,"With Fine Tuning"
"87","Crizotinib","pearson_corr","GNN_finetuned",0.333139175327365,"With Fine Tuning"
"88","Crizotinib","pearson_corr","GNN_finetuned",0.453429309930582,"With Fine Tuning"
"89","Crizotinib","pearson_corr","GNN_finetuned",0.286885851364309,"With Fine Tuning"
"90","Crizotinib","pearson_corr","GNN_finetuned",0.324452495839344,"With Fine Tuning"
"91","Crizotinib","pearson_corr","GNN_finetuned",0.47568160722253,"With Fine Tuning"
"92","Crizotinib","pearson_corr","GNN_finetuned",0.219890557945106,"With Fine Tuning"
"93","Crizotinib","pearson_corr","GNN_finetuned",0.225406530922156,"With Fine Tuning"
"94","Crizotinib","pearson_corr","GNN_finetuned",0.401323638614486,"With Fine Tuning"
"95","Crizotinib","pearson_corr","GNN_finetuned",0.275719148666442,"With Fine Tuning"
"96","Crizotinib","pearson_corr","GNN_finetuned",0.244930500495445,"With Fine Tuning"
"97","Crizotinib","pearson_corr","GNN_finetuned",0.219668730799796,"With Fine Tuning"
"98","Crizotinib","pearson_corr","GNN_finetuned",0.223271051629328,"With Fine Tuning"
"99","Crizotinib","pearson_corr","GNN_finetuned",0.340310304147801,"With Fine Tuning"
"100","Crizotinib","pearson_corr","GNN_finetuned",0.383979183846275,"With Fine Tuning"
"101","Crizotinib","pearson_corr","DirectPred",0.295573297762883,"No Fine Tuning"
"102","Crizotinib","pearson_corr","DirectPred",0.212426363921976,"No Fine Tuning"
"103","Crizotinib","pearson_corr","DirectPred",0.148905874719904,"No Fine Tuning"
"104","Crizotinib","pearson_corr","DirectPred",0.18565700421458,"No Fine Tuning"
"105","Crizotinib","pearson_corr","DirectPred",0.24888420123732,"No Fine Tuning"
