"","target_variable","target_class","target_class_label","layer","name","importance.x","explainer.x","importance.y","explainer.y","genename","importance","in_civic_db","label"
"1","Crizotinib",0,NA,"rna","IL27RA",0.00114978844097347,"IntegratedGradients",0.0011319275,"GradientShap","IL27RA",1,"","IL27RA rna"
"2","Crizotinib",0,NA,"rna","AADAC",0.00114464615114432,"IntegratedGradients",0.001124103,"GradientShap","AADAC",0.995527620868409,"","AADAC rna"
"3","Crizotinib",0,NA,"rna","AMPD3",0.0011434894746672,"IntegratedGradients",0.0011259422,"GradientShap","AMPD3",0.994521630169686,"","AMPD3 rna"
"4","Crizotinib",0,NA,"rna","SLIT2",0.00108286864392374,"IntegratedGradients",0.0010674992,"GradientShap","SLIT2",0.941798165066715,"","SLIT2 rna"
"5","Crizotinib",0,NA,"rna","MAST3",0.00100108519001024,"IntegratedGradients",0.000985961,"GradientShap","MAST3",0.870669032959374,"","MAST3 rna"
"6","Crizotinib",0,NA,"rna","FBP1",0.000947639287510279,"IntegratedGradients",0.0009284613,"GradientShap","FBP1",0.824185783871646,"","FBP1 rna"
"7","Crizotinib",0,NA,"rna","KCNH2",0.000946656497534724,"IntegratedGradients",0.0009286328,"GradientShap","KCNH2",0.823331026648028,"","KCNH2 rna"
"8","Crizotinib",0,NA,"rna","GFPT1",0.000921755917546715,"IntegratedGradients",0.00090723863,"GradientShap","GFPT1",0.801674364343328,"","GFPT1 rna"
"9","Crizotinib",0,NA,"rna","TES",0.000903757004199817,"IntegratedGradients",0.0008901476,"GradientShap","TES",0.786020255547749,"","TES rna"
"10","Crizotinib",0,NA,"rna","UBAC1",0.000892689879069224,"IntegratedGradients",0.00087295263,"GradientShap","UBAC1",0.776394897754778,"","UBAC1 rna"
"11","Erlotinib",0,NA,"rna","KRT16",0.000963086152215516,"IntegratedGradients",0.00096047774,"GradientShap","KRT16",1,"","KRT16 rna"
"12","Erlotinib",0,NA,"rna","EGFR",0.000956200296728229,"IntegratedGradients",0.00094444025,"GradientShap","EGFR",0.992850218569287,"Known Target (CIVIC)","EGFR rna"
"13","Erlotinib",0,NA,"rna","PXDN",0.000918792958143058,"IntegratedGradients",0.0009056805,"GradientShap","PXDN",0.954009105031191,"","PXDN rna"
"14","Erlotinib",0,NA,"mutation","PIK3CA",0.000888638393900496,"IntegratedGradients",0.0008917103,"GradientShap","PIK3CA",0.922698755304748,"","PIK3CA mutation"
"15","Erlotinib",0,NA,"rna","HS3ST3A1",0.00088343310882292,"IntegratedGradients",0.0008694871,"GradientShap","HS3ST3A1",0.91729395837604,"","HS3ST3A1 rna"
"16","Erlotinib",0,NA,"rna","HKDC1",0.000882293396261076,"IntegratedGradients",0.0008726834,"GradientShap","HKDC1",0.916110562104354,"","HKDC1 rna"
