"","group","prefix","task","tool","gnn_conv","target","batch","event","time","data_types","fusion","hpo_iter","early_stop_patience","features_min","feature_perc","log_transform","use_loss_weighting","finetuning_samples","method","var","variable_type","metric","value","score","top","ranking","omics","learning","finetuning"
"1","ccle_vs_gdsc_Crizotinib","analysis12","ccle_vs_gdsc","supervised_vae","","Crizotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"supervised_vae","Crizotinib","numerical","pearson_corr",0.364912356798733,100,1,1,"multi","deep_learning","no_finetuning"
"2","ccle_vs_gdsc_Erlotinib","analysis25","ccle_vs_gdsc","DirectPred","","Erlotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"DirectPred","Erlotinib","numerical","pearson_corr",0.423034232304838,100,1,1,"multi","deep_learning","no_finetuning"
"3","ccle_vs_gdsc_Irinotecan","analysis49","ccle_vs_gdsc","SVM","","Irinotecan",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"SVMRegressor","Irinotecan","numerical","pearson_corr",0.562946126810075,100,1,1,"multi","classical","no_finetuning"
"4","ccle_vs_gdsc_Lapatinib","analysis57","ccle_vs_gdsc","DirectPred","","Lapatinib",NA,"","","rna,cnv","intermediate",100,10,500,20,FALSE,TRUE,0,"DirectPred","Lapatinib","numerical","pearson_corr",0.580832225642576,100,1,1,"multi","deep_learning","no_finetuning"
"5","ccle_vs_gdsc_Paclitaxel","analysis83","ccle_vs_gdsc","SVM","","Paclitaxel",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"SVMRegressor","Paclitaxel","numerical","pearson_corr",0.347558366972756,100,1,1,"multi","classical","no_finetuning"
"6","ccle_vs_gdsc_Palbociclib","analysis99","ccle_vs_gdsc","RandomForest","","Palbociclib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"RandomForestRegressor","Palbociclib","numerical","pearson_corr",0.416341801305568,100,1,1,"multi","classical","no_finetuning"
"7","ccle_vs_gdsc_Selumetinib","analysis115","ccle_vs_gdsc","supervised_vae","","Selumetinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,100,"supervised_vae","Selumetinib","numerical","pearson_corr",0.633343569312995,100,1,1,"multi","deep_learning","with_finetuning"
"8","ccle_vs_gdsc_Sorafenib","analysis134","ccle_vs_gdsc","SVM","","Sorafenib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"SVMRegressor","Sorafenib","numerical","pearson_corr",0.479943496106018,100,1,1,"multi","classical","no_finetuning"
"9","lgg_gbm_OS_STATUS","analysis145","lgg_gbm","DirectPred","","",NA,"OS_STATUS","OS_MONTHS","mut,cna","intermediate",100,10,500,20,FALSE,TRUE,100,"DirectPred","OS_STATUS","numerical","cindex",0.813854489164087,100,1,1,"multi","deep_learning","with_finetuning"
"10","metabric_CHEMOTHERAPY","analysis164","metabric","supervised_vae","","CHEMOTHERAPY",NA,"","","gex,cna","intermediate",100,10,500,20,FALSE,TRUE,100,"supervised_vae","CHEMOTHERAPY","categorical","f1_score",0.816579906177066,100,1,1,"multi","deep_learning","with_finetuning"
"11","metabric_CLAUDIN_SUBTYPE","analysis192","metabric","XGBoost","","CLAUDIN_SUBTYPE",NA,"","","gex,cna","early",100,10,500,20,FALSE,TRUE,0,"XGBoostClassifier","CLAUDIN_SUBTYPE","categorical","f1_score",0.783941623614815,100,1,1,"multi","deep_learning","no_finetuning"
"12","msi_status_msi","analysis197","msi_status","GNN","GC","msi",NA,"","","gex,meth","early",100,10,500,20,FALSE,TRUE,0,"GNN","msi","categorical","f1_score",0.957264138067001,100,1,1,"multi","deep_learning","no_finetuning"
"13","singlecell_bonemarrow_celltype_l1","analysis214","singlecell_bonemarrow","GNN","SAGE","celltype_l1",NA,"","","RNA","early",100,10,500,20,FALSE,TRUE,0,"GNN","celltype_l1","categorical","f1_score",0.989318207837988,100,0,1,"single","deep_learning","no_finetuning"
"14","singlecell_bonemarrow_celltype_l2","analysis212","singlecell_bonemarrow","XGBoost","","celltype_l2",NA,"","","RNA","early",100,10,500,20,FALSE,TRUE,0,"XGBoostClassifier","celltype_l2","categorical","f1_score",0.787926317723265,100,1,1,"single","deep_learning","no_finetuning"
