"","learning","group","prefix","task","tool","gnn_conv","target","batch","event","time","data_types","fusion","hpo_iter","early_stop_patience","features_min","feature_perc","log_transform","use_loss_weighting","finetuning_samples","method","var","variable_type","metric","value","score","top","ranking","omics","finetuning"
"1","deep_learning","ccle_vs_gdsc_Crizotinib","analysis12","ccle_vs_gdsc","supervised_vae","","Crizotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"supervised_vae","Crizotinib","numerical","pearson_corr",0.364912356798733,100,1,1,"multi","no_finetuning"
"2","classical","ccle_vs_gdsc_Crizotinib","analysis15","ccle_vs_gdsc","SVM","","Crizotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"SVMRegressor","Crizotinib","numerical","pearson_corr",0.215513630968452,59.1,0,5,"multi","no_finetuning"
"3","deep_learning","ccle_vs_gdsc_Erlotinib","analysis25","ccle_vs_gdsc","DirectPred","","Erlotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"DirectPred","Erlotinib","numerical","pearson_corr",0.423034232304838,100,1,1,"multi","no_finetuning"
"4","classical","ccle_vs_gdsc_Erlotinib","analysis31","ccle_vs_gdsc","RandomForest","","Erlotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"RandomForestRegressor","Erlotinib","numerical","pearson_corr",0.369610287067468,87.4,0,5,"multi","no_finetuning"
"5","deep_learning","ccle_vs_gdsc_Irinotecan","analysis36","ccle_vs_gdsc","GNN","SAGE","Irinotecan",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"GNN","Irinotecan","numerical","pearson_corr",0.529549812068026,94.1,0,3,"multi","no_finetuning"
"6","classical","ccle_vs_gdsc_Irinotecan","analysis49","ccle_vs_gdsc","SVM","","Irinotecan",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"SVMRegressor","Irinotecan","numerical","pearson_corr",0.562946126810075,100,1,1,"multi","no_finetuning"
"7","deep_learning","ccle_vs_gdsc_Lapatinib","analysis57","ccle_vs_gdsc","DirectPred","","Lapatinib",NA,"","","rna,cnv","intermediate",100,10,500,20,FALSE,TRUE,0,"DirectPred","Lapatinib","numerical","pearson_corr",0.580832225642576,100,1,1,"multi","no_finetuning"
"8","classical","ccle_vs_gdsc_Lapatinib","analysis65","ccle_vs_gdsc","RandomForest","","Lapatinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"RandomForestRegressor","Lapatinib","numerical","pearson_corr",0.514999285126144,88.7,0,5,"multi","no_finetuning"
"9","deep_learning","ccle_vs_gdsc_Paclitaxel","analysis78","ccle_vs_gdsc","supervised_vae","","Paclitaxel",NA,"","","rna,cnv","intermediate",100,10,500,20,FALSE,TRUE,0,"supervised_vae","Paclitaxel","numerical","pearson_corr",0.337174657480292,97,1,2,"multi","no_finetuning"
"10","classical","ccle_vs_gdsc_Paclitaxel","analysis83","ccle_vs_gdsc","SVM","","Paclitaxel",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"SVMRegressor","Paclitaxel","numerical","pearson_corr",0.347558366972756,100,1,1,"multi","no_finetuning"
"11","classical","ccle_vs_gdsc_Palbociclib","analysis99","ccle_vs_gdsc","RandomForest","","Palbociclib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"RandomForestRegressor","Palbociclib","numerical","pearson_corr",0.416341801305568,100,1,1,"multi","no_finetuning"
