"","fusion","group","prefix","task","tool","gnn_conv","target","batch","event","time","data_types","hpo_iter","early_stop_patience","features_min","feature_perc","log_transform","use_loss_weighting","finetuning_samples","method","var","variable_type","metric","value","score","top","ranking","omics","learning","finetuning"
"1","intermediate","ccle_vs_gdsc_Crizotinib","analysis6","ccle_vs_gdsc","DirectPred","","Crizotinib",NA,"","","rna,cnv",100,10,500,20,FALSE,TRUE,0,"DirectPred","Crizotinib","numerical","pearson_corr",0.210636876105483,57.7,0,7,"multi","deep_learning","no_finetuning"
"2","early","ccle_vs_gdsc_Crizotinib","analysis12","ccle_vs_gdsc","supervised_vae","","Crizotinib",NA,"","","rna,cnv",100,10,500,20,FALSE,TRUE,0,"supervised_vae","Crizotinib","numerical","pearson_corr",0.364912356798733,100,1,1,"multi","deep_learning","no_finetuning"
"3","intermediate","ccle_vs_gdsc_Erlotinib","analysis23","ccle_vs_gdsc","DirectPred","","Erlotinib",NA,"","","rna,cnv",100,10,500,20,FALSE,TRUE,0,"DirectPred","Erlotinib","numerical","pearson_corr",0.398889296079868,94.3,1,2,"multi","deep_learning","no_finetuning"
"4","early","ccle_vs_gdsc_Erlotinib","analysis25","ccle_vs_gdsc","DirectPred","","Erlotinib",NA,"","","rna,cnv",100,10,500,20,FALSE,TRUE,0,"DirectPred","Erlotinib","numerical","pearson_corr",0.423034232304838,100,1,1,"multi","deep_learning","no_finetuning"
"5","intermediate","ccle_vs_gdsc_Irinotecan","analysis44","ccle_vs_gdsc","supervised_vae","","Irinotecan",NA,"","","rna,cnv",100,10,500,20,FALSE,TRUE,0,"supervised_vae","Irinotecan","numerical","pearson_corr",0.489154842436336,86.9,0,5,"multi","deep_learning","no_finetuning"
"6","early","ccle_vs_gdsc_Irinotecan","analysis50","ccle_vs_gdsc","XGBoost","","Irinotecan",NA,"","","rna,cnv",100,10,500,20,FALSE,TRUE,0,"XGBoostRegressor","Irinotecan","numerical","pearson_corr",0.488452896614093,86.8,0,6,"multi","deep_learning","no_finetuning"
"7","intermediate","ccle_vs_gdsc_Lapatinib","analysis57","ccle_vs_gdsc","DirectPred","","Lapatinib",NA,"","","rna,cnv",100,10,500,20,FALSE,TRUE,0,"DirectPred","Lapatinib","numerical","pearson_corr",0.580832225642576,100,1,1,"multi","deep_learning","no_finetuning"
"8","early","ccle_vs_gdsc_Lapatinib","analysis60","ccle_vs_gdsc","DirectPred","","Lapatinib",NA,"","","rna,cnv",100,10,500,20,FALSE,TRUE,100,"DirectPred","Lapatinib","numerical","pearson_corr",0.52309983207016,90.1,0,4,"multi","deep_learning","with_finetuning"
"9","intermediate","ccle_vs_gdsc_Paclitaxel","analysis78","ccle_vs_gdsc","supervised_vae","","Paclitaxel",NA,"","","rna,cnv",100,10,500,20,FALSE,TRUE,0,"supervised_vae","Paclitaxel","numerical","pearson_corr",0.337174657480292,97,1,2,"multi","deep_learning","no_finetuning"
"10","early","ccle_vs_gdsc_Paclitaxel","analysis77","ccle_vs_gdsc","DirectPred","","Paclitaxel",NA,"","","rna,cnv",100,10,500,20,FALSE,TRUE,100,"DirectPred","Paclitaxel","numerical","pearson_corr",0.326727825439411,94,0,3,"multi","deep_learning","with_finetuning"
"11","early","ccle_vs_gdsc_Palbociclib","analysis98","ccle_vs_gdsc","supervised_vae","","Palbociclib",NA,"","","rna,cnv",100,10,500,20,FALSE,TRUE,100,"supervised_vae","Palbociclib","numerical","pearson_corr",0.406134036425593,97.5,1,2,"multi","deep_learning","with_finetuning"
"12","intermediate","ccle_vs_gdsc_Palbociclib","analysis92","ccle_vs_gdsc","DirectPred","","Palbociclib",NA,"","","rna,cnv",100,10,500,20,FALSE,TRUE,100,"DirectPred","Palbociclib","numerical","pearson_corr",0.400247583938602,96.1,0,3,"multi","deep_learning","with_finetuning"
