"","finetuning","group","prefix","task","tool","gnn_conv","target","batch","event","time","data_types","fusion","hpo_iter","early_stop_patience","features_min","feature_perc","log_transform","use_loss_weighting","finetuning_samples","method","var","variable_type","metric","value","score","top","ranking","omics","learning"
"1","no_finetuning","ccle_vs_gdsc_Crizotinib","analysis12","ccle_vs_gdsc","supervised_vae","","Crizotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"supervised_vae","Crizotinib","numerical","pearson_corr",0.364912356798733,100,1,1,"multi","deep_learning"
"2","with_finetuning","ccle_vs_gdsc_Crizotinib","analysis3","ccle_vs_gdsc","GNN","SAGE","Crizotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,100,"GNN","Crizotinib","numerical","pearson_corr",0.330526956809788,90.6,1,2,"multi","deep_learning"
"3","no_finetuning","ccle_vs_gdsc_Erlotinib","analysis25","ccle_vs_gdsc","DirectPred","","Erlotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"DirectPred","Erlotinib","numerical","pearson_corr",0.423034232304838,100,1,1,"multi","deep_learning"
"4","with_finetuning","ccle_vs_gdsc_Erlotinib","analysis24","ccle_vs_gdsc","DirectPred","","Erlotinib",NA,"","","rna,cnv","intermediate",100,10,500,20,FALSE,TRUE,100,"DirectPred","Erlotinib","numerical","pearson_corr",0.388447018563987,91.8,0,3,"multi","deep_learning"
"5","no_finetuning","ccle_vs_gdsc_Irinotecan","analysis36","ccle_vs_gdsc","GNN","SAGE","Irinotecan",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"GNN","Irinotecan","numerical","pearson_corr",0.529549812068026,94.1,0,3,"multi","deep_learning"
"6","with_finetuning","ccle_vs_gdsc_Irinotecan","analysis37","ccle_vs_gdsc","GNN","SAGE","Irinotecan",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,100,"GNN","Irinotecan","numerical","pearson_corr",0.489024533254973,86.9,0,4,"multi","deep_learning"
"7","no_finetuning","ccle_vs_gdsc_Lapatinib","analysis57","ccle_vs_gdsc","DirectPred","","Lapatinib",NA,"","","rna,cnv","intermediate",100,10,500,20,FALSE,TRUE,0,"DirectPred","Lapatinib","numerical","pearson_corr",0.580832225642576,100,1,1,"multi","deep_learning"
"8","with_finetuning","ccle_vs_gdsc_Lapatinib","analysis58","ccle_vs_gdsc","DirectPred","","Lapatinib",NA,"","","rna,cnv","intermediate",100,10,500,20,FALSE,TRUE,100,"DirectPred","Lapatinib","numerical","pearson_corr",0.54825470746201,94.4,1,2,"multi","deep_learning"
"9","no_finetuning","ccle_vs_gdsc_Paclitaxel","analysis78","ccle_vs_gdsc","supervised_vae","","Paclitaxel",NA,"","","rna,cnv","intermediate",100,10,500,20,FALSE,TRUE,0,"supervised_vae","Paclitaxel","numerical","pearson_corr",0.337174657480292,97,1,2,"multi","deep_learning"
"10","with_finetuning","ccle_vs_gdsc_Paclitaxel","analysis77","ccle_vs_gdsc","DirectPred","","Paclitaxel",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,100,"DirectPred","Paclitaxel","numerical","pearson_corr",0.326727825439411,94,0,3,"multi","deep_learning"
