"","gnn_conv","group","prefix","task","tool","target","batch","event","time","data_types","fusion","hpo_iter","early_stop_patience","features_min","feature_perc","log_transform","use_loss_weighting","finetuning_samples","method","var","variable_type","metric","value","score","top","ranking","omics","learning","finetuning"
"1","GC","ccle_vs_gdsc_Crizotinib","analysis0","ccle_vs_gdsc","GNN","Crizotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"GNN","Crizotinib","numerical","pearson_corr",0.269246595759731,73.8,0,4,"multi","deep_learning","no_finetuning"
"2","SAGE","ccle_vs_gdsc_Crizotinib","analysis3","ccle_vs_gdsc","GNN","Crizotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,100,"GNN","Crizotinib","numerical","pearson_corr",0.330526956809788,90.6,1,2,"multi","deep_learning","with_finetuning"
"3","GCN","ccle_vs_gdsc_Crizotinib","analysis5","ccle_vs_gdsc","GNN","Crizotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,100,"GNN","Crizotinib","numerical","pearson_corr",0.0851984032336182,23.3,0,14,"multi","deep_learning","with_finetuning"
"4","GC","ccle_vs_gdsc_Erlotinib","analysis17","ccle_vs_gdsc","GNN","Erlotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"GNN","Erlotinib","numerical","pearson_corr",0.361245973317284,85.4,0,6,"multi","deep_learning","no_finetuning"
"5","SAGE","ccle_vs_gdsc_Erlotinib","analysis20","ccle_vs_gdsc","GNN","Erlotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,100,"GNN","Erlotinib","numerical","pearson_corr",0.299336850868683,70.8,0,10,"multi","deep_learning","with_finetuning"
"6","GCN","ccle_vs_gdsc_Erlotinib","analysis21","ccle_vs_gdsc","GNN","Erlotinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"GNN","Erlotinib","numerical","pearson_corr",0.251506538791064,59.5,0,14,"multi","deep_learning","no_finetuning"
"7","GC","ccle_vs_gdsc_Irinotecan","analysis35","ccle_vs_gdsc","GNN","Irinotecan",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,100,"GNN","Irinotecan","numerical","pearson_corr",0.403777412510115,71.7,0,12,"multi","deep_learning","with_finetuning"
"8","SAGE","ccle_vs_gdsc_Irinotecan","analysis36","ccle_vs_gdsc","GNN","Irinotecan",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"GNN","Irinotecan","numerical","pearson_corr",0.529549812068026,94.1,0,3,"multi","deep_learning","no_finetuning"
"9","GCN","ccle_vs_gdsc_Irinotecan","analysis38","ccle_vs_gdsc","GNN","Irinotecan",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"GNN","Irinotecan","numerical","pearson_corr",0.441996689464289,78.5,0,8,"multi","deep_learning","no_finetuning"
"10","GC","ccle_vs_gdsc_Lapatinib","analysis51","ccle_vs_gdsc","GNN","Lapatinib",NA,"","","rna,cnv","early",100,10,500,20,FALSE,TRUE,0,"GNN","Lapatinib","numerical","pearson_corr",0.491786881748776,84.7,0,7,"multi","deep_learning","no_finetuning"
